,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
3472,Patrick Cote,180.34,Joe Riggs,177.8,-2.54,Patrick Cote,corto
3473,Alexis Davis,172.72,Sarah Kaufman,170.18,-2.54,Alexis Davis,corto
3474,Nordine Taleb,187.96,Chris Clements,177.8,-10.16,Nordine Taleb,corto
3475,Ovince Saint Preux,203.2,Patrick Cummins,193.04,-10.16,Ovince Saint Preux,corto
3476,Jimi Manuwa,200.66,Jan Blachowicz,198.12,-2.54,Jimi Manuwa,corto
3477,Pawel Pawlak,185.42,Sheldon Westcott,180.34,-5.08,Pawel Pawlak,corto
3478,Bartosz Fabinski,190.5,Garreth McLellan,182.88,-7.62,Bartosz Fabinski,corto
3479,Taylor Lapilus,185.42,Rocky Lee,172.72,-12.7,Taylor Lapilus,corto
3480,Michael Chiesa,190.5,Mitch Clarke,185.42,-5.08,Michael Chiesa,corto
3481,Julianna Pena,175.26,Milana Dudieva,154.94,-20.32,Julianna Pena,corto
3482,Erick Silva,187.96,Josh Koscheck,185.42,-2.54,Erick Silva,corto
3483,Leonardo Santos,190.5,Anthony Rocco Martin,185.42,-5.08,Leonardo Santos,corto
3484,Amanda Nunes,175.26,Shayna Baszler,170.18,-5.08,Amanda Nunes,corto
3485,Kevin Souza,187.96,Katsunori Kikuno,167.64,-20.32,Kevin Souza,corto
3486,Tony Ferguson,193.04,Gleison Tibau,180.34,-12.7,Tony Ferguson,corto
3487,Derrick Lewis,200.66,Ruan Potts,190.5,-10.16,Derrick Lewis,corto
3488,Neil Magny,203.2,Kiichi Kunimoto,180.34,-22.86,Neil Magny,corto
3489,Chas Skelly,182.88,Jim Alers,180.34,-2.54,Chas Skelly,corto
3490,Tyron Woodley,187.96,Kelvin Gastelum,180.34,-7.62,Tyron Woodley,corto
3491,Thales Leites,198.12,Tim Boetsch,187.96,-10.16,Thales Leites,corto
3492,Rafael Natal,193.04,Tom Watson,185.42,-7.62,Rafael Natal,corto
3493,Nikita Krylov,195.58,Stanislav Nedkov,180.34,-15.24,Nikita Krylov,corto
3494,Mairbek Taisumov,185.42,Anthony Christodoulou,182.88,-2.54,Mairbek Taisumov,corto
3495,Viktor Pesta,195.58,Konstantin Erokhin,185.42,-10.16,Viktor Pesta,corto
3496,Conor McGregor,187.96,Dennis Siver,177.8,-10.16,Conor McGregor,corto
3497,Donald Cerrone,185.42,Benson Henderson,177.8,-7.62,Donald Cerrone,corto
3498,Uriah Hall,200.66,Ron Stallings,190.5,-10.16,Uriah Hall,corto
3499,Jon Jones,213.36,Daniel Cormier,182.88,-30.48,Jon Jones,corto
3500,Kyoji Horiguchi,167.64,Louis Gaudinot,160.02,-7.62,Kyoji Horiguchi,corto
3501,Renan Barao,177.8,Mitch Gagnon,165.1,-12.7,Renan Barao,corto
3502,Daniel Sarafian,185.42,Antonio Dos Santos,182.88,-2.54,Daniel Sarafian,corto
3503,Jessica Penne,170.18,Randa Markos,160.02,-10.16,Jessica Penne,corto
3504,Felice Herrig,165.1,Lisa Ellis,157.48,-7.62,Felice Herrig,corto
3505,Joanne Calderwood,165.1,Seohee Ham,157.48,-7.62,Joanne Calderwood,corto
3506,Aisling Daly,162.56,Alex Chambers,160.02,-2.54,Aisling Daly,corto
3507,Travis Browne,200.66,Brendan Schaub,198.12,-2.54,Travis Browne,corto
3508,Todd Duffee,200.66,Anthony Hamilton,193.04,-7.62,Todd Duffee,corto
3509,Tony Ferguson,193.04,Abel Trujillo,177.8,-15.24,Tony Ferguson,corto
3510,Corey Anderson,200.66,Justin Jones,198.12,-2.54,Corey Anderson,corto
3511,Ruslan Magomedov,198.12,Josh Copeland,190.5,-7.62,Ruslan Magomedov,corto
3512,James Vick,193.04,Nick Hein,167.64,-25.4,James Vick,corto
3513,Fabricio Werdum,195.58,Mark Hunt,182.88,-12.7,Fabricio Werdum,corto
3514,Ricardo Lamas,180.34,Dennis Bermudez,167.64,-12.7,Ricardo Lamas,corto
3515,Augusto Montano,185.42,Chris Heatherly,172.72,-12.7,Augusto Montano,corto
3516,Yair Rodriguez,180.34,Leonardo Morales,172.72,-7.62,Yair Rodriguez,corto
3517,Henry Briones,175.26,Guido Cannetti,172.72,-2.54,Henry Briones,corto
3518,Dhiego Lima,187.96,Jorge de Oliveira,180.34,-7.62,Dhiego Lima,corto
3519,Juliana Lima,165.1,Nina Ansaroff,162.56,-2.54,Juliana Lima,corto
3520,Diego Rivas,175.26,Rodolfo Rubio,167.64,-7.62,Diego Rivas,corto
3521,Thomas Almeida,177.8,Tim Gorman,172.72,-5.08,Thomas Almeida,corto
3522,Luke Rockhold,195.58,Michael Bisping,190.5,-5.08,Luke Rockhold,corto
3523,Soa Palelei,205.74,Walt Harris,195.58,-10.16,Soa Palelei,corto
3524,Jose Aldo,177.8,Chad Mendes,167.64,-10.16,Jose Aldo,corto
3525,Fabio Maldonado,190.5,Hans Stringer,185.42,-5.08,Fabio Maldonado,corto
3526,Yan Cabral,185.42,Naoyuki Kotani,167.64,-17.78,Yan Cabral,corto
3527,Rory MacDonald,193.04,Tarec Saffiedine,177.8,-15.24,Rory MacDonald,corto
3528,Chad Laprise,180.34,Yosdenis Cedeno,175.26,-5.08,Chad Laprise,corto
3529,Elias Theodorou,190.5,Bruno Santos,175.26,-15.24,Elias Theodorou,corto
3530,Nordine Taleb,187.96,Li Jingliang,180.34,-7.62,Nordine Taleb,corto
3531,Magnus Cedenblad,200.66,Scott Askham,190.5,-10.16,Magnus Cedenblad,corto
3532,Nico Musoke,190.5,Alexander Yakovlev,187.96,-2.54,Nico Musoke,corto
3533,Dennis Siver,177.8,Charles Rosa,175.26,-2.54,Dennis Siver,corto
3534,Cathal Pendred,190.5,Gasan Umalatov,180.34,-10.16,Cathal Pendred,corto
3535,Mairbek Taisumov,185.42,Marcin Bandel,177.8,-7.62,Mairbek Taisumov,corto
3536,Demetrious Johnson,167.64,Chris Cariaso,160.02,-7.62,Demetrious Johnson,corto
3537,Donald Cerrone,185.42,Eddie Alvarez,175.26,-10.16,Donald Cerrone,corto
3538,Jorge Masvidal,187.96,James Krause,185.42,-2.54,Jorge Masvidal,corto
3539,Myles Jury,185.42,Takanori Gomi,177.8,-7.62,Myles Jury,corto
3540,Miesha Tate,165.1,Rin Nakai,152.4,-12.7,Miesha Tate,corto
3541,Hyun Gyu Lim,195.58,Takenori Sato,180.34,-15.24,Hyun Gyu Lim,corto
3542,Leonardo Santos,190.5,Efrain Escudero,177.8,-12.7,Leonardo Santos,corto
3543,Santiago Ponzinibbio,185.42,Wendell Oliveira,182.88,-2.54,Santiago Ponzinibbio,corto
3544,Iuri Alcantara,180.34,Russell Doane,177.8,-2.54,Iuri Alcantara,corto
3545,Godofredo Pepey,185.42,Dashon Johnson,177.8,-7.62,Godofredo Pepey,corto
3546,Chris Beal,175.26,Tateki Matsuda,165.1,-10.16,Chris Beal,corto
3547,TJ Dillashaw,170.18,Joe Soto,165.1,-5.08,TJ Dillashaw,corto
3548,Tony Ferguson,193.04,Danny Castillo,180.34,-12.7,Tony Ferguson,corto
3549,Yancy Medeiros,190.5,Damon Jackson,180.34,-10.16,Yancy Medeiros,corto
3550,James Vick,193.04,Valmir Lazaro,185.42,-7.62,James Vick,corto
3551,Chas Skelly,182.88,Tom Niinimaki,175.26,-7.62,Chas Skelly,corto
3552,Neil Magny,203.2,Alex Garcia,182.88,-20.32,Neil Magny,corto
3553,Ben Saunders,195.58,Chris Heatherly,172.72,-22.86,Ben Saunders,corto
3554,Michael Bisping,190.5,Cung Le,175.26,-15.24,Michael Bisping,corto
3555,Zhang Lipeng,180.34,Brendan O'Reilly,175.26,-5.08,Zhang Lipeng,corto
3556,Alberto Mina,195.58,Shinsho Anzai,177.8,-17.78,Alberto Mina,corto
3557,Jussier Formiga,170.18,Zach Makovsky,162.56,-7.62,Jussier Formiga,corto
3558,Anthony Johnson,198.12,Rogerio Nogueira,190.5,-7.62,Anthony Johnson,corto
3559,Conor McGregor,187.96,Diego Brandao,172.72,-15.24,Conor McGregor,corto
3560,Norman Parke,177.8,Naoyuki Kotani,167.64,-10.16,Norman Parke,corto
3561,Ilir Latifi,185.42,Chris Dempsey,182.88,-2.54,Ilir Latifi,corto
3562,Paddy Holohan,175.26,Joshua Sampo,162.56,-12.7,Paddy Holohan,corto
3563,Donald Cerrone,185.42,Jim Miller,180.34,-5.08,Donald Cerrone,corto
3564,Edson Barboza,190.5,Evan Dunham,177.8,-12.7,Edson Barboza,corto
3565,Rick Story,180.34,Leonardo Mafra,177.8,-2.54,Rick Story,corto
3566,John Lineker,170.18,Alptekin Ozkilic,165.1,-5.08,John Lineker,corto
3567,Lucas Martins,182.88,Alex White,180.34,-2.54,Lucas Martins,corto
3568,Claudia Gadelha,160.02,Tina Lahdemaki,157.48,-2.54,Claudia Gadelha,corto
3569,Corey Anderson,200.66,Matt Van Buren,193.04,-7.62,Corey Anderson,corto
3570,Derrick Lewis,200.66,Guto Inocente,195.58,-5.08,Derrick Lewis,corto
3571,Chris Weidman,198.12,Lyoto Machida,187.96,-10.16,Chris Weidman,corto
3572,Uriah Hall,200.66,Thiago Santos,193.04,-7.62,Uriah Hall,corto
3573,Cezar Ferreira,198.12,Andrew Craig,193.04,-5.08,Cezar Ferreira,corto
3574,Ricardo Lamas,180.34,Hacran Dias,175.26,-5.08,Ricardo Lamas,corto
3575,Joe Ellenberger,182.88,James Moontasri,180.34,-2.54,Joe Ellenberger,corto
3576,Aleksei Oleinik,203.2,Anthony Hamilton,193.04,-10.16,Aleksei Oleinik,corto
3577,Jake Matthews,185.42,Dashon Johnson,177.8,-7.62,Jake Matthews,corto
3578,Richie Vaculik,175.26,Roldan Sangcha-an,165.1,-10.16,Richie Vaculik,corto
3579,Neil Magny,203.2,Rodrigo de Lima,190.5,-12.7,Neil Magny,corto
3580,Dan Hooker,190.5,Ian Entwistle,162.56,-27.94,Dan Hooker,corto
3581,Gian Villante,193.04,Sean O'Connell,187.96,-5.08,Gian Villante,corto
3582,Demetrious Johnson,167.64,Ali Bagautinov,165.1,-2.54,Demetrious Johnson,corto
3583,Rory MacDonald,193.04,Tyron Woodley,187.96,-5.08,Rory MacDonald,corto
3584,Ryan Bader,187.96,Rafael Feijao,185.42,-2.54,Ryan Bader,corto
3585,Ovince Saint Preux,203.2,Ryan Jimmo,185.42,-17.78,Ovince Saint Preux,corto
3586,Valerie Letourneau,172.72,Elizabeth Phillips,165.1,-7.62,Valerie Letourneau,corto
3587,Diego Sanchez,182.88,Ross Pearson,175.26,-7.62,Diego Sanchez,corto
3588,Jon Tuck,185.42,Jake Lindsey,180.34,-5.08,Jon Tuck,corto
3589,Stipe Miocic,203.2,Fabio Maldonado,190.5,-12.7,Stipe Miocic,corto
3590,Elias Silverio,185.42,Ernest Chavez,177.8,-7.62,Elias Silverio,corto
3591,Kevin Souza,187.96,Mark Eddiva,172.72,-15.24,Kevin Souza,corto
3592,Ricardo Abreu,185.42,Wagner Silva,180.34,-5.08,Ricardo Abreu,corto
3593,Marcos Rogerio de Lima,190.5,Richardson Moreira,182.88,-7.62,Marcos Rogerio de Lima,corto
3594,Magnus Cedenblad,200.66,Krzysztof Jotko,195.58,-5.08,Magnus Cedenblad,corto
3595,Peter Sobotta,190.5,Pawel Pawlak,185.42,-5.08,Peter Sobotta,corto
3596,Robbie Lawler,187.96,Jake Ellenberger,180.34,-7.62,Robbie Lawler,corto
3597,Michael Chiesa,190.5,Francisco Trinaldo,177.8,-12.7,Michael Chiesa,corto
3598,Tony Ferguson,193.04,Katsunori Kikuno,167.64,-25.4,Tony Ferguson,corto
3599,Chris Holdsworth,180.34,Chico Camus,167.64,-12.7,Chris Holdsworth,corto
3600,Matt Brown,190.5,Erick Silva,187.96,-2.54,Matt Brown,corto
3601,Costas Philippou,185.42,Lorenz Larkin,182.88,-2.54,Costas Philippou,corto
3602,Neil Magny,203.2,Tim Means,190.5,-12.7,Neil Magny,corto
3603,Soa Palelei,205.74,Ruan Potts,190.5,-15.24,Soa Palelei,corto
3604,Ed Herman,195.58,Rafael Natal,193.04,-2.54,Ed Herman,corto
3605,Jon Jones,213.36,Glover Teixeira,193.04,-20.32,Jon Jones,corto
3606,Luke Rockhold,195.58,Tim Boetsch,187.96,-7.62,Luke Rockhold,corto
3607,Takanori Gomi,177.8,Isaac Vallie-Flagg,172.72,-5.08,Takanori Gomi,corto
3608,Dustin Ortiz,165.1,Ray Borg,160.02,-5.08,Dustin Ortiz,corto
3609,Chad Laprise,180.34,Olivier Aubin-Mercier,177.8,-2.54,Chad Laprise,corto
3610,Dustin Poirier,182.88,Akira Corassani,172.72,-10.16,Dustin Poirier,corto
3611,Sarah Kaufman,170.18,Leslie Smith,167.64,-2.54,Sarah Kaufman,corto
3612,George Roop,182.88,Dustin Kimura,180.34,-2.54,George Roop,corto
3613,Mark Bocek,190.5,Mike de la Torre,180.34,-10.16,Mark Bocek,corto
3614,Nordine Taleb,187.96,Vik Grujic,185.42,-2.54,Nordine Taleb,corto
3615,Clay Guida,177.8,Tatsuya Kawajiri,175.26,-2.54,Clay Guida,corto
3616,Ramsey Nijem,190.5,Beneil Dariush,182.88,-7.62,Ramsey Nijem,corto
3617,Jared Rosholt,190.5,Daniel Omielanczuk,187.96,-2.54,Jared Rosholt,corto
3618,Thales Leites,198.12,Trevor Smith,190.5,-7.62,Thales Leites,corto
3619,Jussier Formiga,170.18,Scott Jorgensen,167.64,-2.54,Jussier Formiga,corto
3620,Godofredo Pepey,185.42,Noad Lahat,175.26,-10.16,Godofredo Pepey,corto
3621,Ovince Saint Preux,203.2,Nikita Krylov,195.58,-7.62,Ovince Saint Preux,corto
3622,Michael Johnson,185.42,Melvin Guillard,172.72,-12.7,Michael Johnson,corto
3623,Brad Pickett,172.72,Neil Seery,162.56,-10.16,Brad Pickett,corto
3624,Luke Barnatt,195.58,Mats Nilsson,187.96,-7.62,Luke Barnatt,corto
3625,Igor Araujo,195.58,Danny Mitchell,187.96,-7.62,Igor Araujo,corto
3626,Dong Hyun Kim,193.04,John Hathaway,190.5,-2.54,Dong Hyun Kim,corto
3627,Matt Mitrione,200.66,Shawn Jordan,190.5,-10.16,Matt Mitrione,corto
3628,Hatsu Hioki,177.8,Ivan Menjivar,162.56,-15.24,Hatsu Hioki,corto
3629,Ronda Rousey,172.72,Sara McMann,167.64,-5.08,Ronda Rousey,corto
3630,Rory MacDonald,193.04,Demian Maia,182.88,-10.16,Rory MacDonald,corto
3631,Alexis Davis,172.72,Jessica Eye,167.64,-5.08,Alexis Davis,corto
3632,Raphael Assuncao,167.64,Pedro Munhoz,165.1,-2.54,Raphael Assuncao,corto
3633,Ernest Chavez,177.8,Yosdenis Cedeno,175.26,-2.54,Ernest Chavez,corto
3634,Erick Silva,187.96,Takenori Sato,180.34,-7.62,Erick Silva,corto
3635,Charles Oliveira,187.96,Andy Ogle,175.26,-12.7,Charles Oliveira,corto
3636,Iuri Alcantara,180.34,Wilson Reis,165.1,-15.24,Iuri Alcantara,corto
3637,Felipe Arantes,185.42,Maximo Blanco,180.34,-5.08,Felipe Arantes,corto
3638,Ildemar Alcantara,198.12,Albert Tumenov,185.42,-12.7,Ildemar Alcantara,corto
3639,Renan Barao,177.8,Urijah Faber,170.18,-7.62,Renan Barao,corto
3640,Neil Magny,203.2,Gasan Umalatov,180.34,-22.86,Neil Magny,corto
3641,Stipe Miocic,203.2,Gabriel Gonzaga,193.04,-10.16,Stipe Miocic,corto
3642,Donald Cerrone,185.42,Adriano Martins,182.88,-2.54,Donald Cerrone,corto
3643,Alex Caceres,185.42,Sergio Pettis,175.26,-10.16,Alex Caceres,corto
3644,Eddie Wineland,175.26,Yves Jabouin,172.72,-2.54,Eddie Wineland,corto
3645,Daron Cruickshank,182.88,Mike Rio,180.34,-2.54,Daron Cruickshank,corto
3646,Luke Rockhold,195.58,Costas Philippou,185.42,-10.16,Luke Rockhold,corto
3647,John Moraga,167.64,Dustin Ortiz,165.1,-2.54,John Moraga,corto
3648,Cole Miller,187.96,Sam Sicilia,170.18,-17.78,Cole Miller,corto
3649,Ramsey Nijem,190.5,Justin Edwards,177.8,-12.7,Ramsey Nijem,corto
3650,Kyung Ho Kang,185.42,Shunichi Shimizu,167.64,-17.78,Kyung Ho Kang,corto
3651,Mairbek Taisumov,185.42,Tae Hyun Bang,180.34,-5.08,Mairbek Taisumov,corto
3652,Dustin Kimura,180.34,Jon Delos Reyes,170.18,-10.16,Dustin Kimura,corto
3653,Chris Weidman,198.12,Anderson Silva,195.58,-2.54,Chris Weidman,corto
3654,Ronda Rousey,172.72,Miesha Tate,165.1,-7.62,Ronda Rousey,corto
3655,Dustin Poirier,182.88,Diego Brandao,172.72,-10.16,Dustin Poirier,corto
3656,Demetrious Johnson,167.64,Joseph Benavidez,165.1,-2.54,Demetrious Johnson,corto
3657,Joe Lauzon,180.34,Mac Danzig,177.8,-2.54,Joe Lauzon,corto
3658,Abel Trujillo,177.8,Roger Bowling,172.72,-5.08,Abel Trujillo,corto
3659,Mauricio Rua,193.04,James Te Huna,190.5,-2.54,Mauricio Rua,corto
3660,Julianna Pena,175.26,Jessica Rakoczy,172.72,-2.54,Julianna Pena,corto
3661,Chris Holdsworth,180.34,Davey Grant,175.26,-5.08,Chris Holdsworth,corto
3662,Jessamyn Duke,185.42,Peggy Morgan,177.8,-7.62,Jessamyn Duke,corto
3663,Sean Spencer,190.5,Drew Dober,177.8,-12.7,Sean Spencer,corto
3664,Georges St-Pierre,193.04,Johny Hendricks,175.26,-17.78,Georges St-Pierre,corto
3665,Rashad Evans,190.5,Chael Sonnen,187.96,-2.54,Rashad Evans,corto
3666,Donald Cerrone,185.42,Evan Dunham,177.8,-7.62,Donald Cerrone,corto
3667,Cezar Ferreira,198.12,Daniel Sarafian,185.42,-12.7,Cezar Ferreira,corto
3668,Lyoto Machida,187.96,Mark Munoz,182.88,-5.08,Lyoto Machida,corto
3669,Jimi Manuwa,200.66,Ryan Jimmo,185.42,-15.24,Jimi Manuwa,corto
3670,Luke Barnatt,195.58,Andrew Craig,193.04,-2.54,Luke Barnatt,corto
3671,Jimy Hettes,180.34,Rob Whiteford,175.26,-5.08,Jimy Hettes,corto
3672,Bradley Scott,193.04,Michael Kuiper,185.42,-7.62,Bradley Scott,corto
3673,Gilbert Melendez,185.42,Diego Sanchez,182.88,-2.54,Gilbert Melendez,corto
3674,Gabriel Gonzaga,193.04,Shawn Jordan,190.5,-2.54,Gabriel Gonzaga,corto
3675,Tony Ferguson,193.04,Mike Rio,180.34,-12.7,Tony Ferguson,corto
3676,Rousimar Palhares,180.34,Mike Pierce,177.8,-2.54,Rousimar Palhares,corto
3677,Alan Patrick,187.96,Garett Whiteley,182.88,-5.08,Alan Patrick,corto
3678,Jon Jones,213.36,Alexander Gustafsson,200.66,-12.7,Jon Jones,corto
3679,Renan Barao,177.8,Eddie Wineland,175.26,-2.54,Renan Barao,corto
3680,Glover Teixeira,193.04,Ryan Bader,187.96,-5.08,Glover Teixeira,corto
3681,Lucas Martins,182.88,Junior Hernandez,175.26,-7.62,Lucas Martins,corto
3682,Ben Rothwell,198.12,Brandon Vera,193.04,-5.08,Ben Rothwell,corto
3683,Soa Palelei,205.74,Nikita Krylov,195.58,-10.16,Soa Palelei,corto
3684,Carlos Condit,190.5,Martin Kampmann,182.88,-7.62,Carlos Condit,corto
3685,Court McGee,190.5,Robert Whittaker,185.42,-5.08,Court McGee,corto
3686,Darren Elkins,180.34,Hatsu Hioki,177.8,-2.54,Darren Elkins,corto
3687,Matt Brown,190.5,Mike Pyle,187.96,-2.54,Matt Brown,corto
3688,Conor McGregor,187.96,Max Holloway,175.26,-12.7,Conor McGregor,corto
3689,Cezar Ferreira,198.12,Thiago Santos,193.04,-5.08,Cezar Ferreira,corto
3690,Thales Leites,198.12,Tom Watson,185.42,-12.7,Thales Leites,corto
3691,John Lineker,170.18,Jose Maria,165.0,-5.18,John Lineker,corto
3692,Amanda Nunes,175.26,Sheila Gaff,157.48,-17.78,Amanda Nunes,corto
3693,Viscardi Andrade,190.5,Bristol Marunde,180.34,-10.16,Viscardi Andrade,corto
3694,Rory MacDonald,193.04,Jake Ellenberger,180.34,-12.7,Rory MacDonald,corto
3695,Liz Carmouche,167.64,Jessica Andrade,157.48,-10.16,Liz Carmouche,corto
3696,Ed Herman,195.58,Trevor Smith,190.5,-5.08,Ed Herman,corto
3697,Edson Barboza,190.5,Rafaello Oliveira,180.34,-10.16,Edson Barboza,corto
3698,Rashad Evans,190.5,Dan Henderson,187.96,-2.54,Rashad Evans,corto
3699,Alexis Davis,172.72,Rosi Sexton,160.02,-12.7,Alexis Davis,corto
3700,Sean Pierson,193.04,Kenny Robertson,187.96,-5.08,Sean Pierson,corto
3701,Roland Delorme,180.34,Edwin Figueroa,175.26,-5.08,Roland Delorme,corto
3702,Mitch Clarke,185.42,John Maguire,175.26,-10.16,Mitch Clarke,corto
3703,Thiago Silva,187.96,Rafael Feijao,185.42,-2.54,Thiago Silva,corto
3704,Erick Silva,187.96,Jason High,180.34,-7.62,Erick Silva,corto
3705,Rony Jason,177.8,Mike Wilkinson,172.72,-5.08,Rony Jason,corto
3706,Ildemar Alcantara,198.12,Leandro Silva,182.88,-15.24,Ildemar Alcantara,corto
3707,Rodrigo Damm,180.34,Mizuto Hirota,170.18,-10.16,Rodrigo Damm,corto
3708,Antonio Braga Neto,195.58,Anthony Smith,193.04,-2.54,Antonio Braga Neto,corto
3709,Junior Dos Santos,195.58,Mark Hunt,182.88,-12.7,Junior Dos Santos,corto
3710,Glover Teixeira,193.04,James Te Huna,190.5,-2.54,Glover Teixeira,corto
3711,Donald Cerrone,185.42,KJ Noons,182.88,-2.54,Donald Cerrone,corto
3712,Mike Pyle,187.96,Rick Story,180.34,-7.62,Mike Pyle,corto
3713,Stephen Thompson,190.5,Nah-Shon Burrell,185.42,-5.08,Stephen Thompson,corto
3714,Rafael Natal,193.04,Joao Zeferino,185.42,-7.62,Rafael Natal,corto
3715,Paulo Thiago,185.42,Michel Prazeres,170.18,-15.24,Paulo Thiago,corto
3716,Iuri Alcantara,180.34,Iliarde Santos,167.64,-12.7,Iuri Alcantara,corto
3717,Fabio Maldonado,190.5,Roger Hollett,177.8,-12.7,Fabio Maldonado,corto
3718,John Lineker,170.18,Azamat Gashimov,167.64,-2.54,John Lineker,corto
3719,Jussier Formiga,170.18,Chris Cariaso,160.02,-10.16,Jussier Formiga,corto
3720,Lucas Martins,182.88,Jeremy Larsen,177.8,-5.08,Lucas Martins,corto
3721,Jon Jones,213.36,Chael Sonnen,187.96,-25.4,Jon Jones,corto
3722,Michael Bisping,190.5,Alan Belcher,185.42,-5.08,Michael Bisping,corto
3723,Sara McMann,167.64,Sheila Gaff,157.48,-10.16,Sara McMann,corto
3724,Matt Brown,190.5,Jordan Mein,185.42,-5.08,Matt Brown,corto
3725,Francis Carmont,198.12,Lorenz Larkin,182.88,-15.24,Francis Carmont,corto
3726,Joseph Benavidez,165.1,Darren Uyenoyama,162.56,-2.54,Joseph Benavidez,corto
3727,Anthony Njokuani,190.5,Roger Bowling,172.72,-17.78,Anthony Njokuani,corto
3728,Urijah Faber,170.18,Scott Jorgensen,167.64,-2.54,Urijah Faber,corto
3729,Travis Browne,200.66,Gabriel Gonzaga,193.04,-7.62,Travis Browne,corto
3730,Josh Samman,200.66,Kevin Casey,195.58,-5.08,Josh Samman,corto
3731,Luke Barnatt,195.58,Collin Hart,193.04,-2.54,Luke Barnatt,corto
3732,Dylan Andrews,185.42,Jimmy Quinlan,182.88,-2.54,Dylan Andrews,corto
3733,Cole Miller,187.96,Bart Palaszewski,177.8,-10.16,Cole Miller,corto
3734,Gegard Mousasi,193.04,Ilir Latifi,185.42,-7.62,Gegard Mousasi,corto
3735,Papy Abedi,187.96,Besam Yousef,180.34,-7.62,Papy Abedi,corto
3736,TJ Dillashaw,170.18,Issei Tamura,160.02,-10.16,TJ Dillashaw,corto
3737,George Roop,182.88,Reuben Duran,175.26,-7.62,George Roop,corto
3738,Yushin Okami,190.5,Hector Lombard,180.34,-10.16,Yushin Okami,corto
3739,Dong Hyun Kim,193.04,Siyar Bahadurzada,185.42,-7.62,Dong Hyun Kim,corto
3740,Ronda Rousey,172.72,Liz Carmouche,167.64,-5.08,Ronda Rousey,corto
3741,Urijah Faber,170.18,Ivan Menjivar,162.56,-7.62,Urijah Faber,corto
3742,Court McGee,190.5,Josh Neer,182.88,-7.62,Court McGee,corto
3743,Michael Chiesa,190.5,Anton Kuivanen,182.88,-7.62,Michael Chiesa,corto
3744,Kenny Robertson,187.96,Brock Jardine,185.42,-2.54,Kenny Robertson,corto
3745,James Te Huna,190.5,Ryan Jimmo,185.42,-5.08,James Te Huna,corto
3746,Tom Watson,185.42,Stanislav Nedkov,180.34,-5.08,Tom Watson,corto
3747,Jose Aldo,177.8,Frankie Edgar,172.72,-5.08,Jose Aldo,corto
3748,Joseph Benavidez,165.1,Ian McCall,162.56,-2.54,Joseph Benavidez,corto
3749,TJ Grant,182.88,Matt Wiman,172.72,-10.16,TJ Grant,corto
3750,Rafael Natal,193.04,Sean Spencer,190.5,-2.54,Rafael Natal,corto
3751,Godofredo Pepey,185.42,Milton Vieira,182.88,-2.54,Godofredo Pepey,corto
3752,Edson Barboza,190.5,Lucas Martins,182.88,-7.62,Edson Barboza,corto
3753,Yushin Okami,190.5,Alan Belcher,185.42,-5.08,Yushin Okami,corto
3754,Mike Pyle,187.96,James Head,185.42,-2.54,Mike Pyle,corto
3755,Johnny Bedford,180.34,Marcos Vinicius,177.8,-2.54,Johnny Bedford,corto
3756,TJ Waldburger,190.5,Nick Catone,182.88,-7.62,TJ Waldburger,corto
3757,Benny Alloway,190.5,Manuel Rodriguez,172.72,-17.78,Benny Alloway,corto
3758,Yves Edwards,185.42,Jeremy Stephens,180.34,-5.08,Yves Edwards,corto
3759,Ramsey Nijem,190.5,Joe Proctor,182.88,-7.62,Ramsey Nijem,corto
3760,Daron Cruickshank,182.88,Henry Martinez,172.72,-10.16,Daron Cruickshank,corto
3761,Georges St-Pierre,193.04,Carlos Condit,190.5,-2.54,Georges St-Pierre,corto
3762,Francis Carmont,198.12,Tom Lawlor,187.96,-10.16,Francis Carmont,corto
3763,Cyrille Diabate,205.74,Chad Griggs,185.42,-20.32,Cyrille Diabate,corto
3764,Matthew Riddle,187.96,John Maguire,175.26,-12.7,Matthew Riddle,corto
3765,Dong Hyun Kim,193.04,Paulo Thiago,185.42,-7.62,Dong Hyun Kim,corto
3766,Alex Caceres,185.42,Motonobu Tezuka,167.64,-17.78,Alex Caceres,corto
3767,Minotauro Nogueira,195.58,Dave Herman,193.04,-2.54,Minotauro Nogueira,corto
3768,Glover Teixeira,193.04,Fabio Maldonado,190.5,-2.54,Glover Teixeira,corto
3769,Jon Fitch,193.04,Erick Silva,187.96,-5.08,Jon Fitch,corto
3770,Phil Davis,200.66,Wagner Prado,187.96,-12.7,Phil Davis,corto
3771,Demian Maia,182.88,Rick Story,180.34,-2.54,Demian Maia,corto
3772,Rony Jason,177.8,Sam Sicilia,170.18,-7.62,Rony Jason,corto
3773,Gleison Tibau,180.34,Francisco Trinaldo,177.8,-2.54,Gleison Tibau,corto
3774,Sergio Moraes,182.88,Renee Forte,180.34,-2.54,Sergio Moraes,corto
3775,Michael Johnson,185.42,Danny Castillo,180.34,-5.08,Michael Johnson,corto
3776,Stefan Struve,213.36,Stipe Miocic,203.2,-10.16,Stefan Struve,corto
3777,John Hathaway,190.5,John Maguire,175.26,-15.24,John Hathaway,corto
3778,Che Mills,193.04,Duane Ludwig,177.8,-15.24,Che Mills,corto
3779,Jon Jones,213.36,Vitor Belfort,187.96,-25.4,Jon Jones,corto
