,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
1464,Francisco Trinaldo,175.26,Akbarh Arreola,177.8,2.54,Francisco Trinaldo,alto
1465,Johny Hendricks,175.26,Matt Brown,182.88,7.62,Johny Hendricks,alto
1466,Ross Pearson,172.72,Sam Stout,175.26,2.54,Ross Pearson,alto
1467,Elias Theodorou,185.42,Roger Narvaez,190.5,5.08,Elias Theodorou,alto
1468,Jake Ellenberger,175.26,Josh Koscheck,177.8,2.54,Jake Ellenberger,alto
1469,Santiago Ponzinibbio,182.88,Sean Strickland,185.42,2.54,Santiago Ponzinibbio,alto
1470,Douglas Silva de Andrade,170.18,Cody Gibson,177.8,7.62,Douglas Silva de Andrade,alto
1471,Ivan Jorge,175.26,Josh Shockley,185.42,10.16,Ivan Jorge,alto
1472,Benson Henderson,175.26,Brandon Thatch,187.96,12.7,Benson Henderson,alto
1473,Max Holloway,180.34,Cole Miller,185.42,5.08,Max Holloway,alto
1474,Ray Borg,162.56,Chris Kelades,170.18,7.62,Ray Borg,alto
1475,Zach Makovsky,162.56,Tim Elliott,170.18,7.62,Zach Makovsky,alto
1476,Rafael Natal,182.88,Tom Watson,185.42,2.54,Rafael Natal,alto
1477,Thiago Santos,187.96,Andy Enz,190.5,2.54,Thiago Santos,alto
1478,Kenny Robertson,177.8,Sultan Aliev,180.34,2.54,Kenny Robertson,alto
1479,Mirsad Bektic,172.72,Paul Redmond,177.8,5.08,Mirsad Bektic,alto
1480,Neil Seery,162.56,Chris Beal,170.18,7.62,Neil Seery,alto
1481,Uriah Hall,182.88,Ron Stallings,187.96,5.08,Uriah Hall,alto
1482,Johnny Case,177.8,Frankie Perez,180.34,2.54,Johnny Case,alto
1483,Omari Akhmedov,182.88,Mats Nilsson,185.42,2.54,Omari Akhmedov,alto
1484,Lyoto Machida,185.42,CB Dollaway,187.96,2.54,Lyoto Machida,alto
1485,Erick Silva,182.88,Mike Rhodes,185.42,2.54,Erick Silva,alto
1486,Daniel Sarafian,175.26,Antonio Dos Santos,177.8,2.54,Daniel Sarafian,alto
